"Component","Line","Color","ThemeClass"
"AnnouncementBar.tsx","50","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"AnnouncementBar.tsx","56","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"AnnouncementBar.tsx","66","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"EnhancedFooter.tsx","194","#e2fea5","bg-brand-lime / text-brand-lime"
"EnhancedFooter.tsx","195","#173229","bg-forest-dark / text-forest-dark"
"EnhancedFooter.tsx","627","#d0e999","UNMAPPED"
"Header.tsx","169","#f8ffe8","bg-brand-light / text-brand-light"
"Header.tsx","170","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","171","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","189","#f8ffe8","bg-brand-light / text-brand-light"
"Header.tsx","190","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","191","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","192","#1a1a1a","UNMAPPED"
"Header.tsx","206","#fcfac2","bg-brand-yellow / text-brand-yellow"
"Header.tsx","207","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","208","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","209","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","221","#1a1a1a","UNMAPPED"
"Header.tsx","222","#f5f4e8","UNMAPPED"
"Header.tsx","234","#1a1a1a","UNMAPPED"
"Header.tsx","275","#f8ffe8","bg-brand-light / text-brand-light"
"Header.tsx","276","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","277","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","284","#1a3a2f","UNMAPPED"
"Header.tsx","366","#e2fea5","bg-brand-lime / text-brand-lime"
"Header.tsx","367","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","368","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","398","#e2fea5","bg-brand-lime / text-brand-lime"
"Header.tsx","399","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","400","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Header.tsx","418","#f8ffe8","bg-brand-light / text-brand-light"
"WhatsAppButton.tsx","30","#25d366","UNMAPPED"
"WhatsAppButton.tsx","39","#25d366","UNMAPPED"
"BlogArchive.tsx","234","#e2fea5","bg-brand-lime / text-brand-lime"
"BlogArchive.tsx","263","#e2fea5","bg-brand-lime / text-brand-lime"
"BlogArchive.tsx","265","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"BlogArchive.tsx","265","#f8ffe8","bg-brand-light / text-brand-light"
"BlogArchive.tsx","295","#e2fea5","bg-brand-lime / text-brand-lime"
"BlogArchive.tsx","309","#e2fea5","bg-brand-lime / text-brand-lime"
"BlogArchive.tsx","309","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"BlogArchive.tsx","401","#f8ffe8","bg-brand-light / text-brand-light"
"BlogArchive.tsx","407","#e2fea5","bg-brand-lime / text-brand-lime"
"BlogArchive.tsx","407","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"BlogArchive.tsx","415","#1e3c30","UNMAPPED"
"Hero.tsx","162","#fcfac2","bg-brand-yellow / text-brand-yellow"
"Hero.tsx","163","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Hero.tsx","164","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Hero.tsx","165","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"HomeIndustriesSection.tsx","27","#b8d4be","UNMAPPED"
"HomeIndustriesSection.tsx","38","#ffb4b4","bg-brand-pink / text-brand-pink"
"HomeIndustriesSection.tsx","49","#e2fea5","bg-brand-lime / text-brand-lime"
"HomeIndustriesSection.tsx","60","#fcfac2","bg-brand-yellow / text-brand-yellow"
"HomeIndustriesSection.tsx","188","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"WhyChooseUs.tsx","16","#ffb4b4","bg-brand-pink / text-brand-pink"
"WhyChooseUs.tsx","22","#e2fea5","bg-brand-lime / text-brand-lime"
"WhyChooseUs.tsx","28","#fcfac2","bg-brand-yellow / text-brand-yellow"
"WhyChooseUs.tsx","141","#173229","bg-forest-dark / text-forest-dark"
"WhyEyeLevel.tsx","116","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","117","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","121","#173229","bg-forest-dark / text-forest-dark"
"WhyEyeLevel.tsx","121","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","149","#152420","UNMAPPED"
"WhyEyeLevel.tsx","190","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","233","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","233","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","242","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","242","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","265","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","270","#173229","bg-forest-dark / text-forest-dark"
"WhyEyeLevel.tsx","270","#d0e999","UNMAPPED"
"WhyEyeLevel.tsx","308","#173229","bg-forest-dark / text-forest-dark"
"WhyEyeLevel.tsx","309","#173229","bg-forest-dark / text-forest-dark"
"WhyEyeLevel.tsx","313","#173229","bg-forest-dark / text-forest-dark"
"IndustryShowcase.tsx","34","#e2fea5","bg-brand-lime / text-brand-lime"
"IndustryShowcase.tsx","48","#fcfac2","bg-brand-yellow / text-brand-yellow"
"IndustryShowcase.tsx","62","#ffb4b4","bg-brand-pink / text-brand-pink"
"IndustryShowcase.tsx","76","#b8d4be","UNMAPPED"
"IndustryShowcase.tsx","90","#ffb4b4","bg-brand-pink / text-brand-pink"
"IndustryShowcase.tsx","108","#fcfac2","bg-brand-yellow / text-brand-yellow"
"IndustryShowcase.tsx","126","#c7b6ff","UNMAPPED"
"IndustryShowcase.tsx","144","#b8d4be","UNMAPPED"
"IndustryShowcase.tsx","162","#e2fea5","bg-brand-lime / text-brand-lime"
"IndustryShowcase.tsx","206","#173229","bg-forest-dark / text-forest-dark"
"IndustryShowcase.tsx","206","#1e3c30","UNMAPPED"
"IndustryShowcase.tsx","315","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"IndustryShowcase.tsx","316","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"IndustryShowcase.tsx","317","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"ServiceGallery.tsx","251","#0d1f1a","bg-forest-deep"
"ServiceGallery.tsx","251","#0d1f1a","bg-forest-deep"
"ServiceGallery.tsx","314","#e2fea5","bg-brand-lime / text-brand-lime"
"ServiceGallery.tsx","332","#e2fea5","bg-brand-lime / text-brand-lime"
"WhatsappMarketingCaseStudySection.tsx","65","#005c4b","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","65","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","72","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","302","#202c33","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","318","#202c33","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","319","#8696a0","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","324","#6a7175","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","324","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","328","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","329","#00a884","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","329","#8696a0","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","338","#0b141a","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","340","#fff","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","353","#182229","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","353","#8696a0","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","361","#202c33","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","361","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","362","#005c4b","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","362","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","367","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","371","#53bdeb","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","392","#0b141a","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","395","#202c33","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","395","#8696a0","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","395","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","403","#202c33","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","405","#8696a0","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","405","#e9edef","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","412","#00a884","UNMAPPED"
"WhatsappMarketingCaseStudySection.tsx","412","#00bfa5","UNMAPPED"
"WhatsappMarketingHeroSection.tsx","90","#fcfac2","bg-brand-yellow / text-brand-yellow"
"WhatsappMarketingHeroSection.tsx","91","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"WhatsappMarketingHeroSection.tsx","92","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"WhatsappMarketingHeroSection.tsx","93","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"WhatsappMarketingHeroSection.tsx","108","#f8ffe8","bg-brand-light / text-brand-light"
"WhatsappMarketingStackSection.tsx","12","#fff","UNMAPPED"
"WhatsappMarketingStackSection.tsx","34","#fcfac2","bg-brand-yellow / text-brand-yellow"
"WhatsappMarketingStickyCta.tsx","9","#fcfac2","bg-brand-yellow / text-brand-yellow"
"WhatsappMarketingStickyCta.tsx","9","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"CTA.tsx","45","#1a3a2f","UNMAPPED"
"CTA.tsx","75","#e2fea5","bg-brand-lime / text-brand-lime"
"FAQSection.tsx","39","#d0e999","UNMAPPED"
"FAQSection.tsx","39","#163027","UNMAPPED"
"FAQSection.tsx","75","#d0e999","UNMAPPED"
"FAQSection.tsx","79","#173229","bg-forest-dark / text-forest-dark"
"FAQSection.tsx","102","#d0e999","UNMAPPED"
"FAQSection.tsx","106","#173229","bg-forest-dark / text-forest-dark"
"JoinTheLeague.tsx","42","#253e35","bg-forest-muted / text-forest-muted"
"JoinTheLeague.tsx","65","#f8ffe8","bg-brand-light / text-brand-light"
"JoinTheLeague.tsx","66","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"JoinTheLeague.tsx","67","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"JoinTheLeague.tsx","77","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"JoinTheLeague.tsx","88","#f8ffe8","bg-brand-light / text-brand-light"
"JoinTheLeague.tsx","89","#f8ffe8","bg-brand-light / text-brand-light"
"ProcessSection.tsx","172","#253e35","bg-forest-muted / text-forest-muted"
"ProcessSection.tsx","394","#e2fea5","bg-brand-lime / text-brand-lime"
"ProcessSection.tsx","395","#173229","bg-forest-dark / text-forest-dark"
"ProcessSection.tsx","412","#e2fea5","bg-brand-lime / text-brand-lime"
"ProcessSection.tsx","422","#f8ffe8","bg-brand-light / text-brand-light"
"ProcessSection.tsx","445","#e2fea5","bg-brand-lime / text-brand-lime"
"TextTestimonials.tsx","111","#ffffff","UNMAPPED"
"TextTestimonials.tsx","127","#e2fea5","bg-brand-lime / text-brand-lime"
"TextTestimonials.tsx","141","#e2fea5","bg-brand-lime / text-brand-lime"
"TextTestimonials.tsx","186","#e2fea5","bg-brand-lime / text-brand-lime"
"VideoTestimonials.tsx","113","#ffffff","UNMAPPED"
"VideoTestimonials.tsx","129","#e2fea5","bg-brand-lime / text-brand-lime"
"VideoTestimonials.tsx","175","#1a2f28","UNMAPPED"
"VideoTestimonials.tsx","188","#d0e999","UNMAPPED"
"VideoTestimonials.tsx","199","#d0e999","UNMAPPED"
"ImageGallerySection.tsx","82","#e2fea5","bg-brand-lime / text-brand-lime"
"ImageGallerySection.tsx","105","#e2fea5","bg-brand-lime / text-brand-lime"
"ImageGallerySection.tsx","128","#e2fea5","bg-brand-lime / text-brand-lime"
"TestimonialsSection.tsx","65","#e2fea5","bg-brand-lime / text-brand-lime"
"TestimonialsSection.tsx","71","#e2fea5","bg-brand-lime / text-brand-lime"
"Eyeball.tsx","43","#f8ffe8","bg-brand-light / text-brand-light"
"Eyeball.tsx","43","#e2fea5","bg-brand-lime / text-brand-lime"
"Eyeball.tsx","43","#1e3329","UNMAPPED"
"Eyeball.tsx","50","#1e3329","UNMAPPED"
"Eyeball.tsx","50","#253e35","bg-forest-muted / text-forest-muted"
"WavyUnderline.tsx","11","#ffffff","UNMAPPED"
"chart.tsx","48","#ccc","UNMAPPED"
"chart.tsx","48","#fff","UNMAPPED"
"chart.tsx","48","#ccc","UNMAPPED"
"chart.tsx","48","#ccc","UNMAPPED"
"chart.tsx","48","#fff","UNMAPPED"
"iphone.tsx","90","#0b141a","UNMAPPED"
"iphone.tsx","115","#1f1f1d","UNMAPPED"
"iphone.tsx","119","#1a1a19","UNMAPPED"
"iphone.tsx","123","#1a1a19","UNMAPPED"
"iphone.tsx","127","#1a1a19","UNMAPPED"
"iphone.tsx","131","#1a1a19","UNMAPPED"
"iphone.tsx","135","#080808","UNMAPPED"
"iphone.tsx","142","#2d2d2c","UNMAPPED"
"iphone.tsx","147","#121211","UNMAPPED"
"iphone.tsx","147","#2d2d2b","UNMAPPED"
"iphone.tsx","157","#080808","UNMAPPED"
"iphone.tsx","161","#111124","UNMAPPED"
"About.tsx","36","#e2fea5","bg-brand-lime / text-brand-lime"
"About.tsx","36","#a8e063","UNMAPPED"
"About.tsx","42","#ffb347","UNMAPPED"
"About.tsx","42","#ff6b6b","UNMAPPED"
"About.tsx","48","#667eea","UNMAPPED"
"About.tsx","48","#764ba2","UNMAPPED"
"About.tsx","54","#f093fb","UNMAPPED"
"About.tsx","54","#f5576c","UNMAPPED"
"About.tsx","60","#4facfe","UNMAPPED"
"About.tsx","60","#00f2fe","UNMAPPED"
"About.tsx","412","#253e35","bg-forest-muted / text-forest-muted"
"About.tsx","419","#667eea","UNMAPPED"
"About.tsx","464","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","500","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","536","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","572","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","608","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","640","#253e35","bg-forest-muted / text-forest-muted"
"About.tsx","667","#f8ffe8","bg-brand-light / text-brand-light"
"About.tsx","668","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"About.tsx","669","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"About.tsx","852","#fcfac2","bg-brand-yellow / text-brand-yellow"
"About.tsx","853","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"About.tsx","854","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"About.tsx","855","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"About.tsx","866","#253e35","bg-forest-muted / text-forest-muted"
"Apply.tsx","936","#e2fea5","bg-brand-lime / text-brand-lime"
"Apply.tsx","967","#fcfac2","bg-brand-yellow / text-brand-yellow"
"Apply.tsx","1056","#f8ffe8","bg-brand-light / text-brand-light"
"Apply.tsx","1069","#fcfac2","bg-brand-yellow / text-brand-yellow"
"Apply.tsx","1070","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Apply.tsx","1071","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Apply.tsx","1072","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Apply.tsx","1077","#0a0a0a","border-brand-black / shadow-neo-sm / bg-brand-black / text-brand-black"
"Apply.tsx","1090","#253e35","bg-forest-muted / text-forest-muted"
"B2BMarketing.tsx","67","#fcfac2","bg-brand-yellow / text-brand-yellow"
"B2BMarketing.tsx","73","#b8d4be","UNMAPPED"
"B2BMarketing.tsx","79","#ffb4b4","bg-brand-pink / text-brand-pink"
"B2BMarketing.tsx","86","#e2fea5","bg-brand-lime / text-brand-lime"
